,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
196,8.8 TPS (8.8 / 8.8 / 8.8),8.8 TPS (8.8 / 8.8 / 8.8),,,,,,,,,,,,,,,,,,,,,,,,,
197,7 Contredanses WoO 14 No.7,7 Contredanses WoO 14 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
198,8.27 TPS (8.27 / 8.27 / 8.27),8.27 TPS (8.27 / 8.27 / 8.27),,,,,,,,,,,,,,,,,,,,,,,,,
199,7 Landler WoO 11 No.2,7 Landler WoO 11 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
200,5.8 TPS (5.67 / 5.8 / 5.93),5.8 TPS (5.67 / 5.8 / 5.93),,,,,,,,,,,,,,,,,,,,,,,,,
201,7 Landler WoO 11 No.6,7 Landler WoO 11 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
202,4.8 TPS (4.67 / 4.8 / 4.93),4.8 TPS (4.67 / 4.8 / 4.93),,,,,,,,,,,,,,,,,,,,,,,,,
203,7 Landler WoO 11 No.7,7 Landler WoO 11 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
204,6.13 TPS (6.0 / 6.13 / 6.27),6.13 TPS (6.0 / 6.13 / 6.27),,,,,,,,,,,,,,,,,,,,,,,,,
205,7 Landlers WoO 11 Coda,7 Landlers WoO 11 Coda,,,,,,,,,,,,,,,,,,,,,,,,,
206,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
207,7 Landlers WoO 11 No.1,7 Landlers WoO 11 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
208,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
209,7 Landlers WoO 11 No.2,7 Landlers WoO 11 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
210,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
211,7 Landlers WoO 11 No.3,7 Landlers WoO 11 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
212,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
213,7 Landlers WoO 11 No.4,7 Landlers WoO 11 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
214,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
215,7 Landlers WoO 11 No.5,7 Landlers WoO 11 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
216,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
217,7 Landlers WoO 11 No.6,7 Landlers WoO 11 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
218,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
219,7 Landlers WoO 11 No.7,7 Landlers WoO 11 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
220,10.67 TPS (10.67 / 10.67 / 10.67),10.67 TPS (10.67 / 10.67 / 10.67),,,,,,,,,,,,,,,,,,,,,,,,,
221,7 Rings,7 Rings,,,,,,,,,,,,,,,,,,,,,,,,,
222,7.0 TPS (7.0 / 7.0 / 7.0),7.0 TPS (7.0 / 7.0 / 7.0),,,,,,,,,,,,,,,,,,,,,,,,,
223,7 Years BEEPY,7 Years BEEPY,,,,,,,,,,,,,,,,,,,,,,,,,
224,6.0 TPS (6.0 / 6.0 / 6.0),6.0 TPS (6.0 / 6.0 / 6.0),,,,,,,,,,,,,,,,,,,,,,,,,
225,7 Years,7 Years,,,,,,,,,,,,,,,,,,,,,,,,,
226,6.0 TPS (6.0 / 6.0 / 6.0),6.0 TPS (6.0 / 6.0 / 6.0),,,,,,,,,,,,,,,,,,,,,,,,,
227,8-Bits,8-Bits,,,,,,,,,,,,,,,,,,,,,,,,,
228,3.0 TPS (3.0 / 3.0 / 3.0),3.0 TPS (3.0 / 3.0 / 3.0),,,,,,,,,,,,,,,,,,,,,,,,,
229,9KX2 (Playable Ver.),9KX2 (Playable Ver.),,,,,,,,,,,,,,,,,,,,,,,,,
230,9.5 TPS (9.5 / 9.5 / 9.5),9.5 TPS (9.5 / 9.5 / 9.5),,,,,,,,,,,,,,,,,,,,,,,,,
231,9KX2 60TPS,9KX2 60TPS,,,,,,,,,,,,,,,,,,,,,,,,,
232,19.0 TPS (19.0 / 19.0 / 19.0),19.0 TPS (19.0 / 19.0 / 19.0),,,,,,,,,,,,,,,,,,,,,,,,,
233,9KX2,9KX2,,,,,,,,,,,,,,,,,,,,,,,,,
234,19.0 TPS (19.0 / 19.0 / 19.0),19.0 TPS (19.0 / 19.0 / 19.0),,,,,,,,,,,,,,,,,,,,,,,,,
235,9KX21,9KX21,,,,,,,,,,,,,,,,,,,,,,,,,
236,1908.57 TPS (1908.57 / 1908.57 / 1908.57),1908.57 TPS (1908.57 / 1908.57 / 1908.57),,,,,,,,,,,,,,,,,,,,,,,,,
237,10 000 TPS,10 000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
238,2.33 TPS (2.33 / 2.33 / 2.33),2.33 TPS (2.33 / 2.33 / 2.33),,,,,,,,,,,,,,,,,,,,,,,,,
239,10 Ages Long Song,10 Ages Long Song,,,,,,,,,,,,,,,,,,,,,,,,,
240,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
241,10 TBS SINGLES TILES,10 TBS SINGLES TILES,,,,,,,,,,,,,,,,,,,,,,,,,
242,5.31 TPS (5.53 / 5.2 / 5.2),5.31 TPS (5.53 / 5.2 / 5.2),,,,,,,,,,,,,,,,,,,,,,,,,
243,10 Years Long Song,10 Years Long Song,,,,,,,,,,,,,,,,,,,,,,,,,
244,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
245,10-13-16 TPS Strange Sound 3,10-13-16 TPS Strange Sound 3,,,,,,,,,,,,,,,,,,,,,,,,,
246,2.0 TPS (2.0 / 2.0 / 2.0),2.0 TPS (2.0 / 2.0 / 2.0),,,,,,,,,,,,,,,,,,,,,,,,,
247,10-100-1000 TPS Crazy Pharaoh,10-100-1000 TPS Crazy Pharaoh,,,,,,,,,,,,,,,,,,,,,,,,,
248,5.93 TPS (5.67 / 5.93 / 6.2),5.93 TPS (5.67 / 5.93 / 6.2),,,,,,,,,,,,,,,,,,,,,,,,,
249,10.5 TPS Double Tiles,10.5 TPS Double Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
250,663677.63 TPS (663677.63 / 663677.63 / 663677.63),663677.63 TPS (663677.63 / 663677.63 / 663677.63),,,,,,,,,,,,,,,,,,,,,,,,,
251,10.5 TPS Single Tiles,10.5 TPS Single Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
252,1330041.27 TPS (1330041.27 / 1330041.27 / 1330041.27),1330041.27 TPS (1330041.27 / 1330041.27 / 1330041.27),,,,,,,,,,,,,,,,,,,,,,,,,
253,10.8 TPS Etude Op.39 No.10,10.8 TPS Etude Op.39 No.10,,,,,,,,,,,,,,,,,,,,,,,,,
254,7.0 TPS (7.0 / 7.0 / 7.0),7.0 TPS (7.0 / 7.0 / 7.0),,,,,,,,,,,,,,,,,,,,,,,,,
255,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
256,4.2 TPS (4.2 / 4.2 / 4.2),4.2 TPS (4.2 / 4.2 / 4.2),,,,,,,,,,,,,,,,,,,,,,,,,
257,10M Long Tile,10M Long Tile,,,,,,,,,,,,,,,,,,,,,,,,,
258,5.93 TPS (5.93 / 5.93 / 5.93),5.93 TPS (5.93 / 5.93 / 5.93),,,,,,,,,,,,,,,,,,,,,,,,,
259,10TPS Space Tiles,10TPS Space Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
260,10.0 TPS (10.0 / 10.0 / 10.0),10.0 TPS (10.0 / 10.0 / 10.0),,,,,,,,,,,,,,,,,,,,,,,,,
261,11 Bagatelles Op.119 No.1,11 Bagatelles Op.119 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
262,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
263,11 Bagatelles Op.119 No.2,11 Bagatelles Op.119 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
264,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
265,11 Bagatelles Op.119 No.3,11 Bagatelles Op.119 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
266,4.47 TPS (4.47 / 4.47 / 4.47),4.47 TPS (4.47 / 4.47 / 4.47),,,,,,,,,,,,,,,,,,,,,,,,,
267,11 Bagatelles Op.119 No.4,11 Bagatelles Op.119 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
268,5.6 TPS (5.6 / 5.6 / 5.6),5.6 TPS (5.6 / 5.6 / 5.6),,,,,,,,,,,,,,,,,,,,,,,,,
269,11 Bagatelles Op.119 No.5,11 Bagatelles Op.119 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
270,5.27 TPS (5.27 / 5.27 / 5.27),5.27 TPS (5.27 / 5.27 / 5.27),,,,,,,,,,,,,,,,,,,,,,,,,
271,11 Bagatelles Op.119 No.6,11 Bagatelles Op.119 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
272,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
273,11 Bagatelles Op.119 No.7,11 Bagatelles Op.119 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
274,8.67 TPS (8.67 / 8.67 / 8.67),8.67 TPS (8.67 / 8.67 / 8.67),,,,,,,,,,,,,,,,,,,,,,,,,
275,11 Bagatelles Op.119 No.8,11 Bagatelles Op.119 No.8,,,,,,,,,,,,,,,,,,,,,,,,,
276,7.33 TPS (7.33 / 7.33 / 7.33),7.33 TPS (7.33 / 7.33 / 7.33),,,,,,,,,,,,,,,,,,,,,,,,,
277,11 Bagatelles Op.119 No.9,11 Bagatelles Op.119 No.9,,,,,,,,,,,,,,,,,,,,,,,,,
278,10.0 TPS (10.0 / 10.0 / 10.0),10.0 TPS (10.0 / 10.0 / 10.0),,,,,,,,,,,,,,,,,,,,,,,,,
279,11 Bagatelles Op.119 No.10,11 Bagatelles Op.119 No.10,,,,,,,,,,,,,,,,,,,,,,,,,
280,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
281,11 Bagatelles Op.119 No.11,11 Bagatelles Op.119 No.11,,,,,,,,,,,,,,,,,,,,,,,,,
282,5.33 TPS (5.33 / 5.33 / 5.33),5.33 TPS (5.33 / 5.33 / 5.33),,,,,,,,,,,,,,,,,,,,,,,,,
283,11 TPS Aux cypres de la Villa d'Este I,11 TPS Aux cypres de la Villa d'Este I,,,,,,,,,,,,,,,,,,,,,,,,,
284,4.87 TPS (4.87 / 4.87 / 4.87),4.87 TPS (4.87 / 4.87 / 4.87),,,,,,,,,,,,,,,,,,,,,,,,,
285,11 TPS Chopsticks,11 TPS Chopsticks,,,,,,,,,,,,,,,,,,,,,,,,,
286,4.47 TPS (4.47 / 4.47 / 4.47),4.47 TPS (4.47 / 4.47 / 4.47),,,,,,,,,,,,,,,,,,,,,,,,,
287,11 TPS Double Tiles,11 TPS Double Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
288,663677.63 TPS (663677.63 / 663677.63 / 663677.63),663677.63 TPS (663677.63 / 663677.63 / 663677.63),,,,,,,,,,,,,,,,,,,,,,,,,
289,11 TPS Gochu Chamchi fap _)),11 TPS Gochu Chamchi fap _)),,,,,,,,,,,,,,,,,,,,,,,,,
290,10.0 TPS (10.0 / 10.0 / 10.0),10.0 TPS (10.0 / 10.0 / 10.0),,,,,,,,,,,,,,,,,,,,,,,,,
291,11 TPS Single Tiles,11 TPS Single Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
292,1330041.27 TPS (1330041.27 / 1330041.27 / 1330041.27),1330041.27 TPS (1330041.27 / 1330041.27 / 1330041.27),,,,,,,,,,,,,,,,,,,,,,,,,
293,11.1 TPS Bad Boy,11.1 TPS Bad Boy,,,,,,,,,,,,,,,,,,,,,,,,,
294,10.0 TPS (10.0 / 10.0 / 10.0),10.0 TPS (10.0 / 10.0 / 10.0),,,,,,,,,,,,,,,,,,,,,,,,,
295,11.5 TPS Double Tiles,11.5 TPS Double Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
296,663677.63 TPS (663677.63 / 663677.63 / 663677.63),663677.63 TPS (663677.63 / 663677.63 / 663677.63),,,,,,,,,,,,,,,,,,,,,,,,,
297,11.5 TPS Single Tiles,11.5 TPS Single Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
298,1330041.27 TPS (1330041.27 / 1330041.27 / 1330041.27),1330041.27 TPS (1330041.27 / 1330041.27 / 1330041.27),,,,,,,,,,,,,,,,,,,,,,,,,
299,11AM (Animal Crossing_ New Leaf),11AM (Animal Crossing_ New Leaf),,,,,,,,,,,,,,,,,,,,,,,,,
300,5.0 TPS (5.0 / 5.0 / 5.0),5.0 TPS (5.0 / 5.0 / 5.0),,,,,,,,,,,,,,,,,,,,,,,,,
301,12 German Dances WoO8 No.9,12 German Dances WoO8 No.9,,,,,,,,,,,,,,,,,,,,,,,,,
302,4.8 TPS (4.67 / 4.8 / 4.93),4.8 TPS (4.67 / 4.8 / 4.93),,,,,,,,,,,,,,,,,,,,,,,,,
303,12 Germany Dances WoO 8 No.1,12 Germany Dances WoO 8 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
304,5.33 TPS (5.33 / 5.33 / 5.33),5.33 TPS (5.33 / 5.33 / 5.33),,,,,,,,,,,,,,,,,,,,,,,,,
305,12 Germany Dances WoO 8 No.2,12 Germany Dances WoO 8 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
306,6.0 TPS (6.0 / 6.0 / 6.0),6.0 TPS (6.0 / 6.0 / 6.0),,,,,,,,,,,,,,,,,,,,,,,,,
307,12 Germany Dances WoO 8 No.3,12 Germany Dances WoO 8 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
308,6.4 TPS (6.4 / 6.4 / 6.4),6.4 TPS (6.4 / 6.4 / 6.4),,,,,,,,,,,,,,,,,,,,,,,,,
309,12 Germany Dances WoO 8 No.4,12 Germany Dances WoO 8 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
310,6.67 TPS (6.67 / 6.67 / 6.67),6.67 TPS (6.67 / 6.67 / 6.67),,,,,,,,,,,,,,,,,,,,,,,,,
311,12 Germany Dances WoO 8 No.5,12 Germany Dances WoO 8 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
312,6.67 TPS (6.67 / 6.67 / 6.67),6.67 TPS (6.67 / 6.67 / 6.67),,,,,,,,,,,,,,,,,,,,,,,,,
313,12 Germany Dances WoO 8 No.6,12 Germany Dances WoO 8 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
314,6.67 TPS (6.67 / 6.67 / 6.67),6.67 TPS (6.67 / 6.67 / 6.67),,,,,,,,,,,,,,,,,,,,,,,,,
315,12 Germany Dances WoO 8 No.7,12 Germany Dances WoO 8 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
316,7.0 TPS (7.0 / 7.0 / 7.0),7.0 TPS (7.0 / 7.0 / 7.0),,,,,,,,,,,,,,,,,,,,,,,,,
317,12 Germany Dances WoO 8 No.8,12 Germany Dances WoO 8 No.8,,,,,,,,,,,,,,,,,,,,,,,,,
318,6.67 TPS (6.67 / 6.67 / 6.67),6.67 TPS (6.67 / 6.67 / 6.67),,,,,,,,,,,,,,,,,,,,,,,,,
319,12 Germany Dances WoO 8 No.9,12 Germany Dances WoO 8 No.9,,,,,,,,,,,,,,,,,,,,,,,,,
320,7.0 TPS (7.0 / 7.0 / 7.0),7.0 TPS (7.0 / 7.0 / 7.0),,,,,,,,,,,,,,,,,,,,,,,,,
321,12 Germany Dances WoO 8 No.10,12 Germany Dances WoO 8 No.10,,,,,,,,,,,,,,,,,,,,,,,,,
322,6.67 TPS (6.67 / 6.67 / 6.67),6.67 TPS (6.67 / 6.67 / 6.67),,,,,,,,,,,,,,,,,,,,,,,,,
323,12 Germany Dances WoO 8 No.11,12 Germany Dances WoO 8 No.11,,,,,,,,,,,,,,,,,,,,,,,,,
324,7.33 TPS (7.33 / 7.33 / 7.33),7.33 TPS (7.33 / 7.33 / 7.33),,,,,,,,,,,,,,,,,,,,,,,,,
325,12 Germany Dances WoO 8 No.12,12 Germany Dances WoO 8 No.12,,,,,,,,,,,,,,,,,,,,,,,,,
326,7.33 TPS (7.33 / 7.33 / 7.33),7.33 TPS (7.33 / 7.33 / 7.33),,,,,,,,,,,,,,,,,,,,,,,,,
327,12 Germany Dances WoO 13 No.1,12 Germany Dances WoO 13 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
328,7.33 TPS (7.33 / 7.33 / 7.33),7.33 TPS (7.33 / 7.33 / 7.33),,,,,,,,,,,,,,,,,,,,,,,,,
329,12 Germany Dances WoO 13 No.2,12 Germany Dances WoO 13 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
330,7.73 TPS (7.73 / 7.73 / 7.73),7.73 TPS (7.73 / 7.73 / 7.73),,,,,,,,,,,,,,,,,,,,,,,,,
331,12 Germany Dances WoO 13 No.3,12 Germany Dances WoO 13 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
332,7.67 TPS (7.67 / 7.67 / 7.67),7.67 TPS (7.67 / 7.67 / 7.67),,,,,,,,,,,,,,,,,,,,,,,,,
333,12 Germany Dances WoO 13 No.4,12 Germany Dances WoO 13 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
334,7.67 TPS (7.67 / 7.67 / 7.67),7.67 TPS (7.67 / 7.67 / 7.67),,,,,,,,,,,,,,,,,,,,,,,,,
335,12 Germany Dances WoO 13 No.5,12 Germany Dances WoO 13 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
336,7.33 TPS (7.33 / 7.33 / 7.33),7.33 TPS (7.33 / 7.33 / 7.33),,,,,,,,,,,,,,,,,,,,,,,,,
337,12 Germany Dances WoO 13 No.6,12 Germany Dances WoO 13 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
338,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
339,12 Germany Dances WoO 13 No.7,12 Germany Dances WoO 13 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
340,7.33 TPS (7.33 / 7.33 / 7.33),7.33 TPS (7.33 / 7.33 / 7.33),,,,,,,,,,,,,,,,,,,,,,,,,
341,12 Germany Dances WoO 13 No.8,12 Germany Dances WoO 13 No.8,,,,,,,,,,,,,,,,,,,,,,,,,
342,7.67 TPS (7.67 / 7.67 / 7.67),7.67 TPS (7.67 / 7.67 / 7.67),,,,,,,,,,,,,,,,,,,,,,,,,
343,12 Germany Dances WoO 13 No.9,12 Germany Dances WoO 13 No.9,,,,,,,,,,,,,,,,,,,,,,,,,
344,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
345,12 Germany Dances WoO 13 No.10,12 Germany Dances WoO 13 No.10,,,,,,,,,,,,,,,,,,,,,,,,,
346,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
347,12 Germany Dances WoO 13 No.11,12 Germany Dances WoO 13 No.11,,,,,,,,,,,,,,,,,,,,,,,,,
348,7.33 TPS (7.33 / 7.33 / 7.33),7.33 TPS (7.33 / 7.33 / 7.33),,,,,,,,,,,,,,,,,,,,,,,,,
349,12 Germany Dances WoO 13 No.12,12 Germany Dances WoO 13 No.12,,,,,,,,,,,,,,,,,,,,,,,,,
350,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
351,12 Minuets WoO 7 No.1,12 Minuets WoO 7 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
352,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
353,12 Minuets WoO 7 No.2,12 Minuets WoO 7 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
354,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
355,12 Minuets WoO 7 No.3,12 Minuets WoO 7 No.3,,,,,,,,,,,,,,,,,,,,,,,,,
356,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
357,12 Minuets WoO 7 No.4,12 Minuets WoO 7 No.4,,,,,,,,,,,,,,,,,,,,,,,,,
358,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
359,12 Minuets WoO 7 No.5,12 Minuets WoO 7 No.5,,,,,,,,,,,,,,,,,,,,,,,,,
360,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
361,12 Minuets WoO 7 No.6,12 Minuets WoO 7 No.6,,,,,,,,,,,,,,,,,,,,,,,,,
362,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
363,12 Minuets WoO 7 No.7,12 Minuets WoO 7 No.7,,,,,,,,,,,,,,,,,,,,,,,,,
364,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
365,12 Minuets WoO 7 No.8,12 Minuets WoO 7 No.8,,,,,,,,,,,,,,,,,,,,,,,,,
366,8.27 TPS (8.27 / 8.27 / 8.27),8.27 TPS (8.27 / 8.27 / 8.27),,,,,,,,,,,,,,,,,,,,,,,,,
367,12 Minuets WoO 7 No.9,12 Minuets WoO 7 No.9,,,,,,,,,,,,,,,,,,,,,,,,,
368,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
369,12 Minuets WoO 7 No.10,12 Minuets WoO 7 No.10,,,,,,,,,,,,,,,,,,,,,,,,,
370,8.27 TPS (8.27 / 8.27 / 8.27),8.27 TPS (8.27 / 8.27 / 8.27),,,,,,,,,,,,,,,,,,,,,,,,,
371,12 Minuets WoO 7 No.11,12 Minuets WoO 7 No.11,,,,,,,,,,,,,,,,,,,,,,,,,
372,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
373,12 Minuets WoO 7 No.12,12 Minuets WoO 7 No.12,,,,,,,,,,,,,,,,,,,,,,,,,
374,8.53 TPS (8.53 / 8.53 / 8.53),8.53 TPS (8.53 / 8.53 / 8.53),,,,,,,,,,,,,,,,,,,,,,,,,
375,12 TPS Double Tiles,12 TPS Double Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
376,5.31 TPS (5.53 / 5.2 / 5.2),5.31 TPS (5.53 / 5.2 / 5.2),,,,,,,,,,,,,,,,,,,,,,,,,
377,12 TPS Endure,12 TPS Endure,,,,,,,,,,,,,,,,,,,,,,,,,
378,2.67 TPS (2.67 / 2.67 / 2.67),2.67 TPS (2.67 / 2.67 / 2.67),,,,,,,,,,,,,,,,,,,,,,,,,
379,12 TPS Single Tiles,12 TPS Single Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
380,2.87 TPS (2.87 / 2.87 / 2.87),2.87 TPS (2.87 / 2.87 / 2.87),,,,,,,,,,,,,,,,,,,,,,,,,
381,12 TPS Strange Sound 6,12 TPS Strange Sound 6,,,,,,,,,,,,,,,,,,,,,,,,,
382,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
383,12 Variations on Ein Mädchen oder Weibchen Op.66,12 Variations on Ein Mädchen oder Weibchen Op.66,,,,,,,,,,,,,,,,,,,,,,,,,
384,10.7 TPS (10.7 / 10.7 / 10.7),10.7 TPS (10.7 / 10.7 / 10.7),,,,,,,,,,,,,,,,,,,,,,,,,
385,12-13-14 TPS The Easy Winners,12-13-14 TPS The Easy Winners,,,,,,,,,,,,,,,,,,,,,,,,,
386,5.2 TPS (5.2 / 5.2 / 5.2),5.2 TPS (5.2 / 5.2 / 5.2),,,,,,,,,,,,,,,,,,,,,,,,,
387,13 Pieces Op.76 No.2 (Etude),13 Pieces Op.76 No.2 (Etude),,,,,,,,,,,,,,,,,,,,,,,,,
388,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
389,13 Pieces Op.76 No.4 (Humoresque),13 Pieces Op.76 No.4 (Humoresque),,,,,,,,,,,,,,,,,,,,,,,,,
390,5.53 TPS (5.53 / 5.53 / 5.53),5.53 TPS (5.53 / 5.53 / 5.53),,,,,,,,,,,,,,,,,,,,,,,,,
391,14 TPS Chorekee,14 TPS Chorekee,,,,,,,,,,,,,,,,,,,,,,,,,
392,11.0 TPS (11.0 / 11.0 / 11.0),11.0 TPS (11.0 / 11.0 / 11.0),,,,,,,,,,,,,,,,,,,,,,,,,
393,14 TPS Double Tiles,14 TPS Double Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
394,5.31 TPS (5.53 / 5.2 / 5.2),5.31 TPS (5.53 / 5.2 / 5.2),,,,,,,,,,,,,,,,,,,,,,,,,
395,14 TPS Happy Tiles,14 TPS Happy Tiles,,,,,,,,,,,,,,,,,,,,,,,,,
396,3.17 TPS (3.0 / 3.17 / 3.33),3.17 TPS (3.0 / 3.17 / 3.33),,,,,,,,,,,,,,,,,,,,,,,,,
397,14-14-15 TPS Strange Sound 5,14-14-15 TPS Strange Sound 5,,,,,,,,,,,,,,,,,,,,,,,,,
398,3.17 TPS (3.0 / 3.17 / 3.33),3.17 TPS (3.0 / 3.17 / 3.33),,,,,,,,,,,,,,,,,,,,,,,,,
399,15 TPS Deck The Halls,15 TPS Deck The Halls,,,,,,,,,,,,,,,,,,,,,,,,,
400,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
401,15-16.5-18 TPS Cancan Secret song,15-16.5-18 TPS Cancan Secret song,,,,,,,,,,,,,,,,,,,,,,,,,
402,7.0 TPS (7.0 / 7.0 / 7.0),7.0 TPS (7.0 / 7.0 / 7.0),,,,,,,,,,,,,,,,,,,,,,,,,
