,描述1,描述文案,,album_beethoven1,Beethoven Collection,ألبوم بيتهوفن,贝多芬专辑,貝多芬專輯,Beethoven -collectie,Koleksyon ng Beethoven,Beethoven -kokoelma,Album de Beethoven,Album von Beethoven,बीथोवेन संग्रह,Album Beethoven,selezione di Beethoven,베토벤 앨범,ベートーベンのアルバム,Koleksi Beethoven,Beethoven Collection,Kolekcja Beethoven,Álbum das músicas de Beethoven,Álbum das músicas de Beethoven,Альбом Бетховена,Álbum de Beethoven,Beethoven -samling,คอลเล็กชั่นเบโธเฟน,Beethoven Koleksiyonu I,Bộ sưu tập Beethoven
,贝多芬专辑一,标题文案,,album_beethoven1_subtitle1,Classical works from god father of music,الايمان و المثابرة لعراب الموسيقى الكلاسيكية,古典音乐教父的信仰与坚持,古典音樂教父的信仰與堅持,Klassieke werken van God vader van muziek,Mga klasikal na gawa mula sa Diyos na ama ng musika,Klassiset teokset Jumalan musiikin isältä,Œuvres classiques du maître musical,Werke vom Musik-Pater,संगीत के भगवान पिता से शास्त्रीय कार्य,Karya klasik pelopor musik,i classici del maestro della musica,고전음악 대부의 신념과 집착,クラッシック音楽のゴ教父の信仰と根性,Kerja Klasik dari Bapa Muzik Tuhan,Klassiske verk fra Guds musikkfar,Klasyczne prace od Boga Ojca muzyki,Obras clássicas do mestre de música,Obras clássicas do mestre de música,Классические песни отцов музыки,Obra clásica del gran compositor,Klassiska verk från Guds fader,ผลงานคลาสสิกจากพ่อของพระเจ้าแห่งดนตรี,Klasik müzikten inancı ve ısrarı,Tác phẩm cổ điển từ Thiên Chúa Cha của Âm nhạc
,描述1,描述文案,,album_chopin1,Chopin Collection,البوم شوبان,肖邦专辑,蕭邦專輯,Chopin -verzameling,Koleksyon ng Chopin,Chopin -kokoelma,Album de Chopin,Album von Chopin,चोपिन संग्रह,Album Chopin,selezione di Chopin,쇼팽 앨범,ショパンのアルバム,Koleksi Chopin,Chopin Collection,Kolekcja Chopina,Álbum das músicas de Chopin,Álbum das músicas de Chopin,Альбом Шопена,Álbum de Chopin,Chopin Collection,คอลเลกชันโชแปง,Chopin Koleksiyonu I,Bộ sưu tập Chopin
,肖邦专辑一,标题文案,,album_chopin1 _subtitle1,Stories from the Poet of Piano,القصة التي يحكيها لنا شاعر البيانو,钢琴诗人给我们讲的故事,鋼琴詩人給我們講的故事,Verhalen uit de dichter van piano,Mga kwento mula sa makata ng piano,Tarinoita pianon runoilijasta,Histoire racontée par le pianiste poétique,Geschichten aus dem Klavier-Dichter,पियानो के कवि से कहानियाँ,Cerita dari penyair piano,Le storie raccontate dal poeta piannistico,피아노 시인의 이야기,ピアニストの詩人は物語を述べてくれる,Cerita dari penyair piano,Historier fra poeten til piano,Historie poety fortepianu,História narrada por Poeta de piano,História narrada por Poeta de piano,Истории поэтов пианино,El cuento del poeta de piano,Berättelser från poeten av piano,เรื่องราวจากกวีเปียโน,Piyano Şairler Hikâyeleri,Những câu chuyện từ nhà thơ piano
,描述1,描述文案,,album_mozart1,Mozart Collection,البوم موزارت,莫扎特专辑,莫扎特專輯,Mozart -collectie,Koleksyon ng Mozart,Mozart -kokoelma,Sélection de Mozart,Album von Mozart,मोजार्ट कलेक्शन,Album Mozart,selezione di Mozart,모차르트 앨범,モーツァルトのアルバム,Koleksi Mozart,Mozart Collection,Kolekcja Mozart,Álbum das músicas de Mozart,Álbum das músicas de Mozart,Альбом Моцарта,Álbum de Mozart,Mozart Collection,คอลเลกชัน Mozart,Mozart Koleksiyonu I,Bộ sưu tập Mozart
,莫扎特专辑一,标题文案,,album_mozart1_subtitle1,Wonderful music trip of the musical prodigy,رحلة اللحن الرائعة لمعجزة الموسيقى,音乐神童的奇妙旋律之旅,音樂神童的奇妙旋律之旅,Prachtige muziekreis van het muzikale wonderkind,Kamangha -manghang paglalakbay ng musika ng musikal na prodigy,Musical Proopionin ihana musiikkimatka,Voyage musical merveilleux,Wunderbare Musik-Reise,संगीत की अद्भुत संगीत यात्रा,Perjalanan ajaib anak berbakat musik,il viaggio tra le melodie fantansiche,음악 천재의 신기한 멜로디 여행,音楽の神童の珍しいメロディーの旅,Perjalanan muzik yang indah dari prodigy muzik,Fantastisk musikktur av det musikalske vidunderbarnet,Wspaniała muzyczna podróż muzycznego cudownego,Viagem maravilhosa de música,Viagem maravilhosa de música,Удивительное путешествие в музыку,Un viaje fantástico de música,Underbar musikresa från det musikaliska underbarnet,ทริปเพลงที่ยอดเยี่ยมของละครเพลงอัจฉริยะ,Müzik dâhinin harika gezisi,Chuyến đi âm nhạc tuyệt vời của thần đồng âm nhạc
,描述1,描述文案,,album_child,Collection of world nursery rhymes,جمع اغانى اطفال شعبية عالمية,世界童谣合辑,世界童謠合輯,Collectie van wereldorganisaties van de wereld,Koleksyon ng mga rhymes sa mundo ng nursery,Maailman lastentarimien kokoelma,Sélection des albums enfantins,Sammlung der globalen Kinderlieder,विश्व नर्सरी राइम्स का संग्रह,Album lagu anak-anak sedunia,selezione di filastroccche globali,세계 동요 앨범,世界の童謡アルバム,Koleksi sajak pembibitan dunia,Samling av verdens barnehage rim,Kolekcja światowych rymów szkółek,Músicas infantis mundiais,Músicas infantis mundiais,Коллекция детских песен,Cantos Infantiles Mundiales,Samling av världens barnkammare rim,คอลเล็กชั่นเพลงกล่อมเด็กโลก,Dünya tekerlemelerin koleksiyonu,Bộ sưu tập các vần điệu mẫu giáo thế giới
,世界童谣,标题文案,,album_child_subtitle1,We are good children!,نحن جميعا اطفال جيدون,我们都是好孩子！,我們都是好孩子！,We zijn goede kinderen!,Magaling kaming mga anak!,Olemme hyviä lapsia!,Nous sommes bons enfants!,Wir sind gute Kinder!,हम अच्छे बच्चे हैं!,Kami semuanya adalah anak-anak baik!,Siamo tutti bambini buoni!,우리는 착한 아이다!,我々は良い子供たちだ！,Kami adalah anak yang baik!,Vi er gode barn!,Jesteśmy dobrymi dziećmi!,Somos todos crianças boas!,Somos todos crianças boas!,В душе мы все дети!,¡Somos niños buenos!,Vi är bra barn!,เราเป็นเด็กดี!,İyi çocuklar bizdir.,Chúng tôi là những đứa trẻ tốt!
,描述1,描述文案,,album_memory,Collection of music in memory,جمع الموسيقى الموجود في الذاكرة,记忆中的音乐合辑,記憶中的音樂合輯,Verzameling muziek in het geheugen,Koleksyon ng musika sa memorya,Musiikkikokoelma muistissa,Album dans la mémoire,Sammlung von Musik der Erinnerung,स्मृति में संगीत का संग्रह,Album musik dalam ingatan,selezione di musica in memoria,추억의 뮤직 앨범,思い出の音楽のアルバム,Koleksi Muzik Dalam Memori,Samling av musikk i minnet,Kolekcja muzyki w pamięci,Coleção de músicas na memória,Coleção de músicas na memória,Коллекция из памяти,Álbum de músicas de memoria,Musiksamling i minnet,คอลเลกชันเพลงในความทรงจำ,Bellekte müzik koleksiyonu,Bộ sưu tập âm nhạc trong bộ nhớ
,记忆中的旋律,标题文案,,album_memory_subtitle1,Familiar melodies whose names are forgotten,اللحن التي تكون مالوفة لدينا و اسماءها منسية,那些熟悉又喊不出名字的旋律,那些熟悉又喊不出名字的旋律,Bekende melodieën wiens namen zijn vergeten,Pamilyar na melodies na ang mga pangalan ay nakalimutan,"Tutut melodiat, joiden nimet unohdetaan",Mélodies connues,Bekannte Melodien,परिचित धुनें जिनके नाम भूल गए हैं,Melodi yang tergores dalam hati,le melodie familiari,잘 아는데 이름 모르는 멜로디,それらの懐かしいメロディー,Melodi biasa yang namanya dilupakan,Kjente melodier hvis navn er glemt,"Znane melodie, których nazwy są zapomniane",Aquelas melodias que conhecemos,Aquelas melodias que conhecemos,Мелодии тех знакомых имен,Las melodías familiares,Bekanta melodier vars namn är glömda,ท่วงทำนองที่คุ้นเคยซึ่งมีชื่อถูกลืม,Adları unutulmuş tanıdık melodiler,Những giai điệu quen thuộc có tên bị lãng quên
,描述1,描述文案,,album_soothing,Collection of soothing music,جمع الألحان الهادئة,治愈系旋律合辑,治癒系旋律合輯,Verzameling van rustgevende muziek,Koleksyon ng nakapapawi na musika,Kokoelma rauhoittavaa musiikkia,Sélection des musiques relaxantes,Sammlung von beruhigender Musik,सुखदायक संगीत का संग्रह,Album menenangkan,selezione delle melodie soavi,힐링 멜로디 앨범,癒されるメロディーアルバム,Koleksi muzik menenangkan,Samling av beroligende musikk,Kolekcja kojącej muzyki,Coleção de músicas relaxantes,Coleção de músicas relaxantes,Лечебная коллекция,Álbum de las melodías que te curan,Samling av lugnande musik,คอลเล็กชั่นเพลงผ่อนคลาย,Yatıştırıcı müzik koleksiyonu,Bộ sưu tập âm nhạc làm dịu
,治愈系专辑,标题文案,,album_soothing_subtitle1,The simplest melody always moves you most,انما ياثر قلبك دائما هو اسهل لحن,打动你的总是最简单的旋律,打動你的總是最簡單的旋律,De eenvoudigste melodie beweegt je altijd het meest,Ang pinakasimpleng melody ay palaging gumagalaw sa iyo,Yksinkertaisin melodia liikuttaa sinua aina eniten,C'est la mélodie simple qui vous a touché.,Einfachste Melodie bewegt man am tiefsten,सबसे सरल माधुर्य हमेशा आपको सबसे अधिक ले जाता है,Sederhana dan menyentuh hati,la melodia semplice commuove più persone,감동시키는 간단한 멜로디,最も簡単なメロディーは心を揺さぶる,Melodi yang paling mudah selalu menggerakkan anda,Den enkleste melodien beveger deg alltid mest,Najprostsza melodia zawsze cię najbardziej porusza,Sempre as melodias simples que comovem,Sempre as melodias simples que comovem,Изменит вашу самую простую мелодию,La que conmueve más es la más sencilla,Den enklaste melodin rör dig alltid mest,ท่วงทำนองที่ง่ายที่สุดมักจะทำให้คุณเคลื่อนไหวได้มากที่สุด,En basit melodi her zaman en götürür,Giai điệu đơn giản nhất luôn di chuyển bạn nhất
,描述1,描述文案,,album_wei,Wei,Wei,Wei,Wei,Wei,Wei,Wei,Wei,Wei,वी,WEI,Wei,Wei,Wei,Wei,Wei,Wei,Wei,Wei,Wei,Wei,Wei,เหวี่ยง,WEI,Wei
,琮霏音乐专辑,标题文案,,album_wei_subtitle1,First album of original music of the game,البوم الاول لموسيقى اللعبة الاصلية,第一张游戏内原创音乐专辑,第一張遊戲內原創音樂專輯,Eerste album met originele muziek van de game,Unang album ng orihinal na musika ng laro,Ensimmäinen albumi pelin alkuperäisestä musiikista,Premier album orginal dans le jeu,Erstes Album von origineller Musik,खेल के मूल संगीत का पहला एल्बम,Album musik asli yang ke-1 dari game,primo album di canzoni originali del gioco,게임 창작곡 첫장 앨범,1枚目オリジナルゲーム音楽アルバム,Album pertama muzik asli permainan,Første album med original musikk av spillet,Pierwszy album oryginalnej muzyki gry,Primeiro álbum de músicas originais,Primeiro álbum de músicas originais,Первый оригинальный альбом игры,Primer álbum de música original de juegos,Första albumet med originalmusik i spelet,อัลบั้มแรกของเพลงต้นฉบับของเกม,Piano Tiles 2'nin 1. Orijinal Albümü,Album đầu tiên của nhạc gốc của trò chơi
,描述1,描述文案,,album_1diamond,1-diamond album,ألبوم أغنية بقيمة ماس واحد,1钻专辑,1鑽專輯,1-diamond album,1-diamante album,1-Diamond-albumi,Album de 1 diamant,1-Diamant-Album ( jedes Lied),1-डायमंड एल्बम,Album satu diamond,Album di 1 diamante,다이아*1 앨범,ダイヤ1アルバム,Album 1-diamond,1-diamant album,Album 1-diamond,Álbum de músicas de 1 diamante,Álbum de músicas de 1 diamante,Коллекция 1 алмаза,Álbum de canciones de 1 diamante,1-diamant album,อัลบั้ม 1-Diamond,1 elmaslı albüm,Album 1-Diamond
,1钻专辑,标题文案,,album_1diamond_subtitle1,Unlock new song with 1 diamond,فتح أغاني جديدة بماس واحد!,最新歌曲，1钻解锁！,最新歌曲，1鑽解鎖！,Ontgrendel nieuw nummer met 1 diamant,I -unlock ang bagong kanta na may 1 brilyante,Avaa uusi kappale 1 timantilla,Débloquer nouveau morceau à 1 diamant,"Neues Lied, mit 1 Diamant freizuschalten",1 हीरे के साथ नया गीत अनलॉक करें,Buka kunci lagu satu diamond,Sblocca la canzone nuova con 1 diamante!,"최신 곡, 다이아 1개로 획득!",最新曲、ダイヤ1をアンロック！,Buka kunci lagu baru dengan 1 berlian,Lås opp ny sang med 1 diamant,Odblokuj nową piosenkę z 1 diamentem,1 diamante para liberar a música mais nova!,1 diamante para liberar a música mais nova!,Новая коллекция за 1 алмаз!,"Canción nueva, abrirla con 1 diamante!",Lås upp ny låt med 1 diamant,ปลดล็อกเพลงใหม่ด้วย 1 เพชร,En yeni şarkı açmak için 1 elmas yalnız!,Mở khóa bài hát mới với 1 viên kim cương
,描述,描述文案,,album_moon,Album of moon,ألبوم للأغاني المتعلقة بالقمر,中秋特供专辑,中秋特選專輯,Album van maan,Album ng Buwan,Kuunalbumi,Album de lune,Mond-Album,चाँद का एल्बम,Album bulan,Album lunare,달 앨범,お月様アルバム,Album bulan,Album av Moon,Album Księżyca,Álbum de músicas sobre lua,Álbum de músicas sobre lua,Лунная коллекция,Álbum sobre la luna,Album av månen,อัลบั้มของ Moon,Ay albümü,Album của Mặt trăng
,月亮专辑,标题文案,,album_moon_subtitle1,Melodies about the moon,ألحان متعلقة بالقمر,中秋节快乐！,中秋節快樂！,Melodieën over de maan,Melodies tungkol sa buwan,Melodiat kuusta,Mélodie sur le sujet de la lune,Melodie über Mond,चंद्रमा के बारे में धुनें,Melodi tentang bulan,Le melodie sulla luna,달의 멜로디,お月様に関するメロディー,Melodi mengenai bulan,Melodier om månen,Melodie o księżycu,Todas melodias acerca da beleza da lua,Todas melodias acerca da beleza da lua,Мелодии о луне,Melodía sobre la luna,Melodier om månen,ท่วงทำนองเกี่ยวกับดวงจันทร์,Ay’a dair melodi,Giai điệu về mặt trăng
,描述,描述文案,,album_world,Album I of world selection,الألبوم الأول للموسيقى العالمية المشهورة,世界名曲专辑 I,世界名曲專輯 I,Album I van World Selectie,Album I ng World Selection,Albumi I of World Selection,Album I de sélection mondiale,Erstes Album für berühmte Lieder,एल्बम I का विश्व चयन,Album lagu terkenal 1,Album I di canzoni mondiali,세계 명곡 특집 I,世界名曲アルバム I,Album I Pilihan Dunia,Album I of World Selection,Album I of World Selection,Álbum I de músicas clássicas mundiais,Álbum I de músicas clássicas mundiais,Коллекция мировых хитов I,Álbum I música de fama mundial,Album I av världsval,อัลบั้ม I of World Selection,Dünya meşhur müzikler albümü I,Album I of World Lựa chọn
,世界名曲专辑,标题文案,,album_world_subtitle1,Different musical experience,تجربة مختلفة للموسيقى,不一样的音乐盛宴,不一樣的音樂盛宴,Verschillende muzikale ervaring,Iba't ibang karanasan sa musikal,Erilainen musiikillinen kokemus,Expérience musicale extraordinaire,Andere Musik-Erfahrung,विभिन्न संगीत अनुभव,Pesta musik yang berbeda,L'esperienza musicale diversa,뮤직의 다른 느낌,今までにない音楽体験,Pengalaman muzik yang berbeza,Ulike musikalsk opplevelse,Różne doświadczenie muzyczne,Experiência musical totalmente especial,Experiência musical totalmente especial,Необычные музыкальные ощущения,Experiencia musical diferente,Olika musikaliska upplevelser,ประสบการณ์ทางดนตรีที่แตกต่างกัน,Tam farklı müzik deneyimi,Kinh nghiệm âm nhạc khác nhau
,描述,描述文案,,album_animal,Album of animal,ألبوم للأغاني المتعلقة بالحيوانات,动物专辑,動物專輯,Album van dier,Album ng hayop,Eläimen albumi,Album d'animal,Tier-Album,पशु का एल्बम,Album musik binatang,Album di animali,동물 앨범,動物アルバム,Album haiwan,Animal of Animal,Album zwierząt,Álbum de músicas sobre animais,Álbum de músicas sobre animais,Звериная коллекция,Álbum animales,Djuralbum,อัลบั้มของสัตว์,Hayvanlar albümü,Album của động vật
,动物专辑,标题文案,,album_animal_subtitle1,Carnival of animal,كرنفال الحيوانات,动物狂欢节,動物狂歡節,Carnaval of Animal,Karnabal ng hayop,Eläimen karnevaali,Carnaval d'animal,Tier-Karneval,जानवरों का कार्निवल,Karnaval binatang,Carnevale di animali,동물의 사육제,動物カーニバル,Karnival haiwan,Karneval av dyr,Karnawał zwierząt,Carnaval de animais,Carnaval de animais,Звериный карнавал,Carnaval de los animales,Karneval av djur,งานรื่นเริงของสัตว์,Hayvanlar karnavalı,Carnival của động vật
,描述,描述文案,,album_newgameplay,"Album of ""Slider"" tile",مجموعة طريقة اللعب للتايلز المتزلج,滑块玩法合辑,滑塊玩法合輯,"Album van ""Slider"" Tile","Album ng ""Slider"" tile",Slider -levyn albumi,"Album de mode ""Tile curseur""",Sammlung von Block-Spielweise,स्लाइडर टाइल का एल्बम,Album Cara Main Tuts Geser,Raccolta di Tiles Scivolosi,슬라이더 타일 앨범,タイルの遊び方コレクション,"Album ""Slider"" jubin","Album med ""Slide"" Tile",Album płytki „Slider”,Álbum de teclas deslizantes,Álbum de teclas deslizantes,Слайдер «Альбом заметок»,Álbum de teclas deslizantes,"Album av ""skjutreglage"" kakel","อัลบั้ม ""Slider"" กระเบื้อง",Uzun Tuşlar Tarzı Albümü,"Album của Ngói ""Slider"""
,滑块玩法歌曲专辑,标题文案,,album_newgameplay_subtitle1,"New Game Play, absolutely addictive!",طريقة اللعب الجديدة، ستحبها بكل تأكيد,全新玩法，绝对上瘾！,全新玩法，絕對上癮！,"Nieuw spelspel, absoluut verslavend!","Bagong paglalaro ng laro, ganap na nakakahumaling!","Uusi pelipeli, ehdottomasti koukuttava!","Nouveau Game Play, absolument addictif!","Neue Spielweise, sehr süchtig!","नया गेम प्ले, बिल्कुल नशे की लत!","Cara main terbaru,bikin ketagihan!",Modalità nuova e devi innamorarti subito!,중독성 있는 신규 플레이법!,必ずハマる、新しい遊び方！,"Permainan permainan baru, benar -benar ketagihan!","Nytt spill, absolutt vanedannende!","Nowa gra, absolutnie uzależniająca!",Com certeza ficará viciado com o novo modo,Com certeza ficará viciado com o novo modo,"Новый способ игры, не оторваться!","Nueva forma, ¡Más adictiva que nunca!","Nytt spel, absolut beroendeframkallande!",เล่นเกมใหม่เสพติดอย่างแน่นอน!,"Yeni Oyun Tarzı, Kesinlikle Bağımlı Olacak!","Chơi trò chơi mới, hoàn toàn gây nghiện!"
,描述,描述文案,,album_girl,Album of girlish worries,ألبوم للأغاني المتعلقة بأفكار فتايات,少女心事歌曲合辑,少女心事歌曲合輯,Album van meisjesachtige zorgen,Album ng Girlish Worries,Girlish Warries -albumi,Album d'inquiétudes des filles,Album für Mädchen,Girish चिंताओं का एल्बम,Album Isi Hati Cewek,Album del segreto della ragazza,소녀의 비밀 앨범,乙女心アルバム,Album kebimbangan girlish,Album med jentete bekymringer,Album dziewczęcych zmartwień,Álbum de secretos de meninas,Álbum de secretos de meninas,Коллекция юных мечтаний,Álbum de las mentes de chicas,Album av flickaktiga bekymmer,อัลบั้มของ Girlish Worries,Kızın Düşüncesi Albümü,Album của Girlish lo lắng
,献给姑娘们专辑,标题文案,,album_girl_subtitle1,"Hi, Girl!",أهلا وسهلا، يا فتاة,对面的女孩看过来~,對面的女孩看過來~,"Hallo, meid!","Kumusta, babae!","Hei, tyttö!","Bonjour, Miss belle!","Hallo, Mädchen!",नमस्ते लड़की!,"Halo,cewek!",Ciao bella!,"안녕, 소녀!",こんにちは、お嬢さん！,"Hai, gadis!",Hei jente!,Cześć dziewczyny!,Oi! Tudo bem meninas?,Oi! Tudo bem meninas?,"Хей, детка!","¡Hola, chica!",Hej tjejen!,สวัสดีผู้หญิง!,"Merhaba, Kız!",Chào cô gái!
,描述,描述文案,,album_view,Album I of natural scenery,الألبوم الأول لأغاني متعلقة بالمناظر,大自然风景专辑 I,大自然風景專輯 I,Album I van natuurlijk landschap,Album i ng natural na tanawin,Albumi I luonnon maisemat,Album I de paysage nature,Album I für Landschaft,प्राकृतिक दृश्यों का एल्बम I,Album Pemandangan Alam I,Album I del paesaggio naturale,자연 풍경 앨범 I,自然風景アルバム I,Album I dari pemandangan semula jadi,Album I av naturlig natur,Album I naturalnej scenerii,Álbum I de paisagem natural,Álbum I de paisagem natural,Коллекция ландшафтов 1,Álbum I del paisaje de la naturaleza,Album I av naturligt landskap,อัลบั้ม I of Natural Scenery,Doğa Manzara Albümü I,Album I của Phong cảnh tự nhiên
,风景专辑,标题文案,,album_view_subtitle1,Poem beyond life,التمتع بالحياة الهادئة والمناظر الجميلة,诗和远方,詩和遠方,Gedicht voorbij het leven,Tula na lampas sa buhay,Runo elämän ulkopuolella,Poèmes et vie lointaine,Ideal und Traum,जीवन से परे कविता,Puisi dan masa depan,Il viaggio poetico in distanza,시와 먼 곳,詩と遠い彼方,Puisi di luar kehidupan,Dikt utover livet,Wiersz poza życiem,Vive uma vida poética e ambiciosa!,Vive uma vida poética e ambiciosa!,Стих и даль,La poesía y el futuro,Dikt bortom livet,บทกวีนอกเหนือจากชีวิต,Şiir ve Irak Yer,Bài thơ ngoài cuộc sống
,描述,描述文案,,album_halloween1,Album I of Halloween,الألبوم الأول لهالوين-,万圣节专辑 I,萬聖節專輯 I,Album I van Halloween,Album I ng Halloween,Albumi I of Halloween,Album I de Halloween,Album I von Allerheiligen,हैलोवीन का एल्बम I,Album Halloween I,Album 1 di Halloween,핼러윈 특집 I,ハロウィンアルバムⅠ,Album I Halloween,Album I av Halloween,Album I Halloween,Álbum I do Dia das Bruxas,Álbum I do Dia das Bruxas,Хэллоуинский альбом I,Álbum de Halloween I,Album I av Halloween,อัลบั้ม I of Halloween,Cadılar Bayramı Albümü I,Album I của Halloween
,万圣节专辑1,,,album_halloween1_subtitle,Trick or treat!,خدعة أم حلوى,不给糖就捣蛋！,不給糖就搗蛋！,Snoep of je leven!,Trick o gamutin!,Karkki vai kepponen!,Trick or treat!,Süßigkeiten!,चाल या दावत!,Trick or treat,Dolcetto o scherzetto!,트릭 오어 트릿!,トリック・オア・トリート！,Helah atau merawat!,Knask eller knep!,Cukierek albo psikus!,Doces ou travessuras,Doces ou travessuras,Конфеты или жизнь!,¡Truco o trato!,Bus eller godis!,เคล็ดลับหรือรักษา!,Şeker mi şaka mı!,Lừa hoặc điều trị!
,描述,,,album_halloween2,Album II of Halloween,الألبوم الثاني لهالوين-,万圣节专辑 II,萬聖節專輯 II,Album II van Halloween,Album II ng Halloween,Halloweenin albumi II,Album II de Halloween,Album II von Allerheiligen,हैलोवीन का एल्बम II,Album Halloween II,Album 2 di Halloween,핼러윈 특집 II,ハロウィンアルバムⅡ,Album II Halloween,Album II av Halloween,Album II Halloween,Álbum II do Dia das Bruxas,Álbum II do Dia das Bruxas,Хэллоуинский альбом II,Álbum de Halloween II,Album II of Halloween,อัลบั้ม II แห่งฮัลโลวีน,Cadılar Bayramı Albümü II,Album II của Halloween
,万圣节专辑2,,,album_halloween2_subtitle,Mysterious and dynamic music,الموسيقى السرية والروحية,神秘而灵动的音乐,神秘而靈動的音樂,Mysterieuze en dynamische muziek,Misteryoso at dynamic na musika,Salaperäinen ja dynaaminen musiikki,Musique mystérieuse et dynamique,Mystische Musik!,रहस्यमय और गतिशील संगीत,Musik yang mistris dan indah,La musica mistica,신비롭고 활발한 음악,神秘的、幻想的な音楽,Muzik misteri dan dinamik,Mystisk og dynamisk musikk,Muzyka tajemnicza i dynamiczna,Música misteriosa e elegante,Música misteriosa e elegante,Загадочная и одухотворящая мелодия,Música misteriosa y suave,Mystisk och dynamisk musik,ดนตรีลึกลับและมีชีวิตชีวา,Gizemli ve neşeli müzikler,Âm nhạc bí ẩn và năng động
,描述,,,album_dance1,Album I of world waltz,الألبوم الأول للموسيقى الراقصة العالمية,世界舞曲专辑 I,世界舞曲專輯 I,Album I van World Waltz,Album I ng World Waltz,Albumi I World Waltz,Album I de valse mondiale,Album I der Welt-Tanzmusik,वर्ल्ड वाल्ट्ज का एल्बम I,Album musik dance dunia I,Album 1 della musica di ballo mondiale,세계 무곡 특집 I,世界舞曲アルバムⅠ,Album I of World Waltz,Album I of World Waltz,Album I of World Waltz,Álbum I de músicas de dança,Álbum I de músicas de dança,Мировой альбом вальса,¡Álbum de Música de Danza,Album I av World Waltz,อัลบั้ม I of World Waltz,Dünya Dans Albümü I,Album I của World Waltz
,世界舞曲专辑1,,,album_dance1_subtitle,Dynamic and lightly,التمتع بالرقصات مع الألحان الفرحة,欢快动人，翩翩起舞,歡快動人，翩翩起舞,Dynamisch en licht,Dinamikong at gaanong,Dynaaminen ja kevyesti,Dynamique et léger,Zusammen tanzen!,गतिशील और हल्के से,"Menyenangkan,menari dengan musik",Si balla vivacemente con la gioia,즐겁고 경쾌한 멜로디에 따라 춤춥시다,楽しく軽快なリズム、ひらひらと舞い踊る,Dinamik dan ringan,Dynamisk og lett,Dynamiczny i lekko,Dançar com músicas alegres e animadas,Dançar com músicas alegres e animadas,"Поднимают настроение, зовут танцевать","Siente la alegría, baila con la música",Dynamisk och lätt,ไดนามิกและเบา ๆ,"Neşeli ve hareketli, beraber dans edelim",Năng động và nhẹ nhàng
,描述,,,album_corner,Time corner,زاوية الوقت,时光的角落,時光的角落,Tijdhoek,Oras ng sulok,Aikakulma,Le coin de temps,Zeit-Ecke,समय का कोने,Sudut waktu,Angolo del tempo,세월의 구석,時間の隅,Sudut masa,Tidshjørne,Róg czasowy,Canto do tempo,Canto do tempo,Уголок времени,La Esquina del Tiempo,Tidshörn,มุมเวลา,Zaman Köşesi,Góc thời gian
,时光的角落,,,album_corner_subtitle,Refreshing and entirely new music,موسيقى مريحة منعشة,令人耳目一新的音乐,令人耳目一新的音樂,Verfrissende en geheel nieuwe muziek,Nagre -refresh at ganap na bagong musika,Virkistävä ja täysin uusi musiikki,Les musiques fraîches,Erfrischende Musik,ताज़ा और पूरी तरह से नया संगीत,Musik yang menyegarkan dan baru,La musica fresca,새록새록 새로운 음악,すべてが新鮮に感じられる音楽,Muzik yang menyegarkan dan sepenuhnya baru,Forfriskende og helt ny musikk,Orzeźwiająca i zupełnie nowa muzyka,A música diferente das outras,A música diferente das outras,Новая на слух мелодия,Música que te pone en nuevo mundo,Uppfriskande och helt ny musik,สดชื่นและเพลงใหม่ทั้งหมด,Canlandırıcı Müzikler,Làm mới và hoàn toàn âm nhạc mới
,描述,,,album_lstrauss,Album of Johann Strauss II,ألبوم يوهان شتراوس الثاني,小约翰·施特劳斯专辑,小約翰·施特勞斯專輯,Album van Johann Strauss II,Album ng Johann Strauss II,Johann Strauss II: n albumi,Album de Johann Strauss II,Album von Johann Strauss II,जोहान स्ट्रॉस II का एल्बम,Album Johann Strauss II,Album di Johann Strauss II,요한 슈트라우스 II 앨범,ヨハン・シュトラウス II,Album Johann Strauss II,Album av Johann Strauss II,Album Johanna Straussa II,Álbum de Johann Strauss II,Álbum de Johann Strauss II,Иоганн Штраус II,Álbum de Johann Strauss II,Album av Johann Strauss II,อัลบั้มของ Johann Strauss II,Johann Strauss II Albümü,Album của Johann Strauss II
,约翰·施特劳斯 II专辑,,,album_lstrauss_subtitle,Dance invitation of king of waltz,دعوة من ملك الفالس,圆舞曲之王的邀舞,圓舞曲之王的邀舞,Dansuitnodiging van King of Waltz,Imbitasyon ng sayaw ng Hari ng Waltz,Waltzin kuninkaan tanssikuva,Invitation de Roi valse,Einladung zum Tanz von Walzerkönig,वॉल्ट्ज के राजा का नृत्य निमंत्रण,"Undangan tarian dari ""Raja Waltz""",L'invito da Re di Valzer,왈츠의 왕의 댄스 초대,キング・オブ・ワルツの招待,Jemputan Tarian Raja Waltz,Dansinvitasjon av kongen av Waltz,Zaproszenie tańca króla Waltza,Convite à dança do Rei da Valsa,Convite à dança do Rei da Valsa,Пара для короля танца,La invitación del rey de vals,Dansinbjudan av King of Waltz,คำเชิญเต้นรำของราชาแห่งวอลทซ์,The Great Waltz'dan Davetiye,Lời mời khiêu vũ của vua Waltz
