,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
184,Sonata in E Major K.20,Sonata in E Major K.20,سوناتا في سلم مي الكبير K.20,E大调奏鸣曲 K.20,E大調奏鳴曲 K.20,Sonate in e major K.20,Sonata in E Major K.20,Sonata in E Major K.20,Sonata dans E Major K.20,Sonate in E-Dur K.20,Sonata in E Major K.20,Sonata di E Major K.20,Sonata in E maggiore K.20,E장조 소나타 K.20,ソナタ ホ長調 K.20,Sonata in E Major K.20,Sonate i E-dur K.20,Sonata w E-dur K.20,Sonata em Mi Maior K.20,Sonata em Mi Maior K.20,Соната ми мадор К20,Sonata en Re Mayor K.20,Sonat i E-dur K.20,โซนาตา ใน อี เมเจอร์ เค.20,E Major K.20'de Sonata,E Majör Sonatı K.20,Sonata trong E Major K.20
185,Coppelia-Waltz,Coppelia-Waltz,فالز كوبيليا,葛蓓莉亚华尔兹,葛蓓莉亞華爾茲,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,코펠리아 왈츠,コッペリア - ワルツ,Coppelia-Waltz,Coppélia-vals,Walc z Coppélii,Valsa de Coppélia,Valsa de Coppélia,"""Коппелия"" - вальс",Vals de Coppélia,Coppelia-waltz,คอปเปเลีย-วอลซ์,Coppelia Valsi,Coppelia Valsi,Coppelia-Waltz
186,Two Part Invention No.8,Two Part Invention No.8,الجزء الثاني لاختراعات No.8,二部创意 No.8,二部創意 No.8,Tweedelende uitvinding nr. 8,Two Part Invention No.8,Two Part Invention No.8,Invention en deux parties No.8,Two Part Invention No.8,Two Part Invention No.8,Dua bagian penemuan no.8,Invenzione in due parti n. 8,2성 인벤션 8번,2声のインベンション 第8番,Two Part Invention No.8,Todelt Invention nr.8,Dwugłosowa inwencja nr 8,Invenção em Duas Partes No.8,Invenção em Duas Partes No.8,Двухчастное изобретение №8,Invención de dos partes No.8,Two Part Invention No.8,Two Part Invention No.8,İki Bölüm Buluş No.8,Two Part Invention No.8,Invention No.8 cho hai tay
187,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,الفالس الصغير No.2 Op.10,小圆舞曲 Op.10 No.2,小圓舞曲 Op.10 No.2,Petite valse op.10 Nr.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Kleine Walzer Op.10 Nr.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 n. 2,작은 왈츠 Op.10 2번,小さなワルツ Op.10-2,Petite Valse Op.10 No.2,Petite Valse Op.10 nr.2,Petite valse op.10 nr 2,Pequena Valsa Op.10 No.2,Pequena Valsa Op.10 No.2,Миниатюрный вальс Op.10 №2,Petite Vals Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Küçük Vals Op.10 No.2,Küçük Vals Op.10 No.2,Petite Valse Op.10 No.2
188,Canzonetta,Canzonetta,كانزونيتا,小坎左纳,小坎左納,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,칸초네타,カンツォーネ,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Канцонетта,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta
189,Hungarian Dance No.7,Hungarian Dance No.7,الرقصة الهنغارية No.7,匈牙利舞曲 No.7,匈牙利舞曲 No.7,Hongaarse dans Nr.7,Hungarian Dance No.7,Hungarian Dance No.7,Dance hongroise No.7,Hungarian Dance No.7,Hungarian Dance No.7,Tarian Hongaria No.7,Danza ungherese n. 7,헝가리 무곡 7번,ハンガリー舞曲 第7番,Hungarian Dance No.7,Ungarsk dans nr. 7,Węgierski taniec nr 7,Dança Húngara No.7,Dança Húngara No.7,Венгерский танец №7,Danza húngara No.7,Ungerska dans no.7,การเต้นรำฮังการีหมายเลข 7,Macar dansı No.7,Macar Dansı No.7,Vũ điệu Hungary No.7
190,Thine Alone Op.54,Thine Alone Op.54,Op.54 ملكك وحدك,独自一人,獨自一人,U alleen Op. 54,Thine Alone Op.54,Thine Alone Op.54,Toi seul Op.54,Thine Alone Op.54,Thine Alone Op.54,Mu sendiri OP.54,Il tuo da solo op.54,타인 얼론 Op.54,ザイン・アローン Op.54,Thine Alone Op.54,Din alene op.54,Tylko twój Op.54,Somente Tua Op.54,Somente Tua Op.54,Только твой оп.54,Solo tuyo Op.54,Thine Alone Op.54,เจ้าคนเดียว Op.54,Yalnız Op.54,Yalnızca Senin Op.54,Thine Alone Op.54
191,Something Doing,Something Doing,شيء ما يفعل,百无聊赖,百無聊賴,Iets doet,Something Doing,Something Doing,Quelque chose qui fait,Something Doing,Something Doing,Sesuatu dilakukan,Qualcosa che fa,썸씽 두잉,サムシング・ドゥイング,Something Doing,Noe som skjer,Coś się dzieje,Algo Acontecendo,Algo Acontecendo,Что-то делать,Algo por hacer,Something Doing,มีอะไรทำ,Bir şey yapıyor,Bir Şeyler Yapıyor,Something Doing
192,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,السوناتينا Mvt.3 No.1 Op.20,小奏鸣曲 Op.20 No.1 第三乐章,小奏鳴曲 Op.20 No.1 第三樂章,"Sonatina Op.20 nr. 1, deel 3",Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina OP.20 No.1 Mvt.3,Sonatina Op.20 Nr.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 MVT.3,Sonatina Op.20 n. 1 Mvt.3,소나티나 Op.20 1번 3악장,ソナチネ Op.20-1 第3楽章,Sonatina Op.20 No.1 Mvt.3,Sonatine Op.20 nr.1 Mvt.3,Sonatina op.20 nr 1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Сонатина Op.20 №1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,โซนาตินา โอปัส 20 หมายเลข 1 มูฟเมนต์ 3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Bölüm 3,Sonatina Op.20 No.1 MVT.3
193,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,سويت (BWV 1012-3) كورانت,无伴奏大提琴组曲-库朗特,無伴奏大提琴組曲-庫朗特,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,SUITE BWV 1012-3.COURANTE,Suite BWV 1012-3.Courante,모음곡 BWV 1012-3: 코랑트,組曲 BWV 1012-3. クーラント,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3 Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,"Сюита BWV 1012-3, Куранта",Suite BWV 1012-3.Courante,Svit BWV 1012-3.Courante,สวีท BWV 1012-3 คูร็องต์,Suite BWV 1012-3 Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante
194,The Parade Of The Tin Soldiers,The Parade Of The Tin Soldiers,موكب الجنود الألعاب,玩具兵进行曲,玩具兵進行曲,De parade van de tinnen soldaten,The Parade Of The Tin Soldiers,The Parade Of The Tin Soldiers,Le défilé des soldats de l'étain,The Parade Of The Tin Soldiers,The Parade Of The Tin Soldiers,Parade tentara timah,La sfilata dei soldati di stagno,더 퍼레이드 오브 더 틴 솔저스,おもちゃの兵隊の行進曲,The Parade Of The Tin Soldiers,Paraden til tinnsoldatene,Parada ołowianych żołnierzyków,O Desfile dos Soldadinhos de Chumbo,O Desfile dos Soldadinhos de Chumbo,Парад оловянных солдатиков,El desfile de los soldados de estaño,The Parade Of The Tin Soldiers,ขบวนพาเหรดของทหารดีบุก,Teneke Askerlerin Geçit Töreni,Teneke Askerlerin Geçidi,Cuộc diễu hành của những người lính thiếc
195,Lieder Op.52 No.7,Lieder Op.52 No.7,No.7 Op.52 أغاني,旅行者之歌,旅行者之歌,Lieder Op.52 Nr.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder OP.52 No.7,Lieder Op.52 Nr.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 n.7,리더 Op.52 7번,リーダー Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 nr.7,Lieder Op.52 nr 7,Lieder Op.52 No.7,Lieder Op.52 No.7,Песни Op.52 №7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7
196,Entry Of The Gladiators,Entry Of The Gladiators,دخول المصارعين,角斗士入场进行曲,角斗士入場進行曲,Invoer van de gladiatoren,Entry Of The Gladiators,Entry Of The Gladiators,Entrée des gladiateurs,Entry Of The Gladiators,Entry Of The Gladiators,Masuknya gladiator,Entrata dei gladiatori,글래디에이터의 입장,剣闘士の入場,Entry Of The Gladiators,Gladiatorenes inntogsmarsj,Marsz gladiatorów,Marcha de Entrada dos Gladiadores,Marcha de Entrada dos Gladiadores,Вступление гладиаторов,Entrada de los gladiadores,Gladiatorerna inträde,การเข้าสู่สนามของนักสู้,Gladyatörlerin girişi,Gladyatörlerin Girişi,Khúc hành quân của các đấu sĩ
197,Swipesy Cakewalk,Swipesy Cakewalk,رقصة الكعكة,淡啤酒步态舞,淡啤酒步態舞,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Gâteau de glissement,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,스와이프시 케이크워크,スワイプシー（ケーク・ウォーク）,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Свипси кейкуок,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk
198,Polka Op.39 No.14,Polka Op.39 No.14,البولكا No.14 Op.39,波尔卡舞曲 Op.39 No.14,波爾卡舞曲 Op.39 No.14,Polka Op.39 nr. 14,Polka Op.39 No.14,Polka Op.39 No.14,Polka OP.39 No.14,Polka Op.39 Nr.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 n.14,폴카 Op.39 14번,ポルカ O/39-14,Polka Op.39 No.14,Polka Op.39 nr.14,Polka op.39 nr 14,Polca Op.39 No.14,Polca Op.39 No.14,Полька Op.39 №14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14
199,Rage In Joyful C,Rage In Joyful C,الراج السعيد في سلم دو الكبير,C大调欢乐拉格,C大調歡樂拉格,Woede in Joyful C,Rage In Joyful C,Rage In Joyful C,Rage dans joyeux C,Rage In Joyful C,Rage In Joyful C,Kemarahan dalam Joyful C,Rabbia in gioioso c,즐거운 도 장조의 분노,レイジ・イン・ジョイフル C,Rage In Joyful C,Raseri i gledelig C,Wściekłość w radosnym c,Fúria na Alegria em Dó,Fúria na Alegria em Dó,Ярость в радости C,Furia en Do alegre,Rage In Joyful C,Rage In Joyful C,Neşeli c'de öfke,Rage In Joyful C,Rage In Joyful C
200,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,السوناتينا Mvt.3 No.2 Op.36,小奏鸣曲Op.36-2,小奏鳴曲Op.36-2,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 MVT.3,Sonatina Op.36-2 Mvt.3,소나티나 Op.36 2번 3악장,ソナチネ Op.36-2 第3楽章,Sonatina Op.36-2 Mvt.3,Sonatine Op.36 nr.2 Mvt.3,Sonatina op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Сонатина Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Bölüm 3,Sonatina Op.36-2 Mvt.3
201,Impromptu Op.142 No.3,Impromptu Op.142 No.3,No.3 Op.142 ارتجال,即兴曲 Op.142 No.3,即興曲 Op.142 No.3,Spontane Op.142 Nr.3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 Nr.3,Impromptu Op.142 No.3,Dadakan op.142 No.3,Impromptu Op.142 n.3,즉흥곡 Op.142 3번,即興曲 Op.142-3,Impromptu Op.142 No.3,Impromptu Op.142 nr.3,Impromptu Op.142 nr 3,Improviso Op.142 No.3,Improviso Op.142 No.3,Экспромт Op.142 №3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,อย่างกะทันหัน Op.142 ฉบับที่ 3,Çelişkili Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 No.3
202,Italian Song Op.39 No.15,Italian Song Op.39 No.15,No.15 Op.39 أغنية إيطالية,意大利歌曲 Op.39 No.15,義大利歌曲 Op.39 No.15,Italiaans nummer Op.39 Nr.15,Italian Song Op.39 No.15,Italian Song Op.39 No.15,Song italien Op.39 No.5,Italian Song Op.39 Nr.15,Italian Song Op.39 No.15,Lagu Italia Op.39 No.15,Canzone italiana OP.39 n. 15,이탈리아 곡 Op.39 15번,イタリアの歌 Op.39-15,Italian Song Op.39 No.15,Italiensk sang op.39 nr.15,Włoska pieśń Op.39 nr 15,Canção Italiana Op.39 No.15,Canção Italiana Op.39 No.15,Итальянская песня Op.39 №15,Canción italiana Op.39 No.15,Italiensk sång OP.39 No.15,เพลงอิตาลี Op.39 No.15,İtalyan Şarkısı Op.39 No.15,İtalyan Şarkısı Op.39 No.15,Bài hát Ý Op.39 No.15
203,Cabaletta Op.83,Cabaletta Op.83,Op.83 كاباليتا,卡巴莱塔,卡巴萊塔,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta op.83,카발레타 Op.83,カバレッタ Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta op.83,Cabaletta op.83,Кабалета Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83
204,Etude Op.25 No.9,Etude Op.25 No.9,No.9 Op.25 القطعة الموسيقية,练习曲 Op.25 No.9,練習曲 Op.25 No.9,Etude Op.25 Nr.9,Etude Op.25 No.9,Etude Op.25 No.9,Etude Op.25 No.9,Etude Op.25 Nr.9,Etude Op.25 No.9,Etude Op.25 No.9,Etude op.25 n. 9,에튀드 Op.25 9번,練習曲 Op.25-9,Etude Op.25 No.9,Etude op.25 nr.9,Etiuda Op.25 nr 9,Estudo Op.25 No.9,Estudo Op.25 No.9,Этюд Op.25 №9,Etude Op.25 No.9,Etude Op.25 No.9,Etude Op.25 No.9,Erude op.25 No.9,Etüd Op.25 No.9,Etude Op.25 No.9
205,Tempo di Ballo,Tempo di Ballo,تيمبو دي بلو,舞曲速度,舞曲速度,Tempo di Ballo,Tempo di Ballo,Tempo di Ballo,Tempo di ballo,Tempo di Ballo,Tempo di Ballo,Tempo di Ballo,Tempo di Ballo,템포 디 발로,テンポ・ディ・バルロ,Tempo di Ballo,Tempo di Ballo,Tempo di Ballo,Tempo di Ballo,Tempo di Ballo,Время танцев,Tempo di Ballo,Tempo di Ballo,จังหวะบัลโล,Dans Ritmi,Dans Temposu,Tempo di Ballo
206,A Breeze From Alabama,A Breeze From Alabama,نسيم من ولاية ألاباما,来自阿拉巴马的微风,來自阿拉巴馬的微風,Een briesje uit Alabama,A Breeze From Alabama,A Breeze From Alabama,Une brise de l'Alabama,A Breeze From Alabama,A Breeze From Alabama,Angin sepoi -sepoi dari Alabama,Una brezza dall'Alabama,앨라배마의 산들바람,ブリーズ・フロム・アラバマ,A Breeze From Alabama,En bris fra Alabama,Bryza z Alabamy,Uma Brisa do Alabama,Uma Brisa do Alabama,Бриз из Алабамы,Una brisa de Alabama,A Breeze From Alabama,สายลมจากอลาบามา,Alabama'dan bir esinti,Alabama'dan Esinti,Một làn gió từ Alabama
207,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 إيكوساس (WoO 83),埃克萨斯舞曲,埃克薩斯舞曲,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 ECOSSAISES WOO 83,6 Ecossais Woo 83,6개의 에코세즈 WoO 83,6つのセコセーズ WoO 83,6 Ecossaises WoO 83,6 ecossaises woo 83,6 Ecossaises Woo 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 экосезов WoO 83,6 Ecossaises Woo 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ekossaises Woo 83,6 İskoç Dansı WoO 83,6 Ecossaises WoO 83
208,Trompeter Op.33 No.2,Trompeter Op.33 No.2,ترومبيتر (Op.33 No.2),小号手,小號手,Trompeter Op.33 Nr. 2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Trompeur Op.33 No.2,Trompeter Op.33 Nr.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Trompeter op.33 n. 2,트롬페터 Op.33 2번,トランペット吹き Op.33-2,Trompeter Op.33 No.2,Trompetist Op.33 nr.2,Trompeter Op.33 nr 2,Trompetista Op.33 No.2,Trompetista Op.33 No.2,Трубач Op.33 №2,Trompetero Op.33 No.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Trompet Op.33 No.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2
209,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,No.7 Op.12 ألبوم ليف,纪念册的一页,紀念冊的一頁,Albumblad Op.12 Nr. 7,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,Album-feuille Op.12 No.7,Album-leaf Op.12 Nr.7,Album-leaf Op.12 No.7,Album-Leaf Op.12 No.7,Album-fogli Op.12 n. 7,앨범블랫 Op.12 7번,アルバム・リーフ Op.12-7,Album-leaf Op.12 No.7,Albumblad Op.12 nr.7,Albumliść Op.12 nr 7,Folha de Álbum Op.12 No.7,Folha de Álbum Op.12 No.7,Лист из альбома Op.12 №7,Hoja de álbum Op.12 No.7,Album-Leaf Op.12 No.7,อัลบั้มใบ Op.12 No.7,Albüm Yaprağı Op.12 No.7,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7
210,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Mvt.2 No.1 Op.20 السوناتينا,小奏鸣曲 Op.20 No.1 第二章,小奏鳴曲 Op.20 No.1 第二章,"Sonatina Op.20 nr. 1, deel 2",Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 Nr.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 MVT.2,Sonatina Op.20 n. 1 Mvt.2,소나티네 Op.20 1번 2악장,ソナチネ Op.20-1 第2楽章,Sonatina Op.20 No.1 Mvt.2,Sonatine Op.20 nr.1 Mvt.2,Sonatina op.20 nr 1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Сонатина Op.20 №1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 MVT.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Bölüm 2,Sonatina Op.20 No.1 Mvt.2
211,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Mvt.3 Hob.27 السوناتا,G大调奏鸣曲 第三章,G大調奏鳴曲 第三章,Sonate Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 MVT.3,Sonata Hob.27 Mvt.3,소나타 Hob.27 3악장,ソナタ Hob.27 第3楽章,Sonata Hob.27 Mvt.3,Sonate i F-dur Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 MVT.3,Sonata Hob.27 MVT.3,Соната Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,โซนาตา Hob.27 มูฟเมนต์ 3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Bölüm 3,Sonata Hob.27 Mvt.3
212,Nocturne Op.55 No.1,Nocturne Op.55 No.1,المقطوعة الهادئة Op.55 NO.1,f小调夜曲,f小調夜曲,Nocturne Op.55 Nr.1,Nocturne Op.55 No.1,Nocturne Op.55 No.1,Nocturne Op.55 No.1,Nocturne Op.55 Nr.1,Nocturne Op.55 No.1,Nocturne Op.55 No.1,Nocturne Op.55 n. 1,녹턴 Op.55 1번,夜想曲 Op.55-2 第3楽章,Nocturne Op.55 No.1,Nocturne Op.55 nr.1,Nokturn Op.55 nr 1,Noturno Op.55 No.1,Noturno Op.55 No.1,Ноктюрн Оp. 55 №1 От,Nocturne Op.55 No.1,Nocturne Op.55 No.1,น็อกเทิร์น โอปัส 55 หมายเลข 1,Nocturne Op.55 No.1,Nocturne Op.55 No.1,Nocturne Op.55 No.1
213,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Mvt.3 No.2 Op.55 السوناتينا,小奏鸣曲 Op.55 No.2 第三章,小奏鳴曲 Op.55 No.2 第三章,Sonatina Op.55 Nr.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 Nr.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 MVT.3,Sonatina Op.55 n.2 Mvt.3,소나티네 Op.55 2번 3악장,ソナチネ Op.55-3 第3楽章,Sonatina Op.55 No.2 Mvt.3,Sonatine Op.55 nr.2 Mvt.3,Sonatina op.55 nr 2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Сонатина Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 MVT.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Bölüm 3,Sonatina Op.55 No.2 Mvt.3
214,L'adieu Op.100 No.12,L'adieu Op.100 No.12,No.12 Op.100 الوداع,再会,再會,Het Afscheid Op.100 nr. 12,L'adieu Op.100 No.12,L'adieu Op.100 No.12,L'adieu Op.100 No.12,L'adieu Op.100 Nr.12,L'adieu Op.100 No.12,L'Adieu Op.100 No.12,L'ADIEU OP.100 n. 12,라디외 Op.100 12번,別れ Op.100-12,L'adieu Op.100 No.12,L'Adieu Op.100 nr.12,L'Adieu op.100 nr 12,L'adieu Op.100 No.12,L'adieu Op.100 No.12,Прощальный Op.100 №12,L'Adieu Op.100 No.12,L'Adieu Op.100 No.12,L'Adieu Op.100 No.12,L'Adieu Op.100 No.12,L'Adieu Op.100 No.12,L'adieu Op.100 No.12
215,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,سويت (BWV 1009) بوراي,无伴奏大提琴组曲 BWV 1009,無伴奏大提琴組曲 BWV 1009,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,모음곡 BWV 1009 부레,組曲 BWV 1009 ブーレ,Suite BWV 1009 Bourree,Suite BWV 1009 - Bourrée,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,"Сюита BWV 1009, Бурре",Suite BWV 1009 Bourree,Svit BWV 1009 - Bourrée,สวีท BWV 1009 บูร์เร,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree
216,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Mvt.3 No.1 Op.88 الرندة,回旋曲 Op.88 No.1 第三章,迴旋曲 Op.88 No.1 第三章,"Rondo Op.88 nr. 1, deel 3",Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 Nr.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 MVT.3,Rondo Op.88 n.1 Mvt.3,론도 Op.88 1번 3악장,ロンド Op.88-1 第3楽章,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 nr.1 Mvt.3,Rondo op.88 nr 1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Рондо Op.88 №1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 MVT.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Bölüm 3,Rondo Op.88 No.1 Mvt.3
217,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Mvt.1 No.2 Op.36 السوناتينا,小奏鸣曲 Op.36-2 Mvt.1,小奏鳴曲 Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 MVT.1,Sonatina Op.36-2 Mvt.1,소나티네 Op.36 2번 1악장,ソナチネ Op.36-2 第1楽章,Sonatina Op.36-2 Mvt.1,Sonatine Op.36 nr.2 Mvt.1,Sonatina op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Сонатина Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,โซนาตินา โอปัส 36-2 มูฟเมนต์ 1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Bölüm 1,Sonatina Op.36-2 Mvt.1
218,Songs Without Words Op.19 No.2,Songs Without Words Op.19 No.2,No.2 Op.19 أغاني بدون كلمات,无词歌 Op.19 No.2,無詞歌 Op.19 No.2,Liedjes zonder woorden op.19 Nr. 2,Songs Without Words Op.19 No.2,Songs Without Words Op.19 No.2,Chansons sans mots Op.19 No.2,Songs Without Words Op.19 Nr.2,Songs Without Words Op.19 No.2,Lagu tanpa kata -kata op.19 No.2,Canzoni senza parole Op.19 n. 2,무언가 Op.19 2번,無言歌集 OP.19-2,Songs Without Words Op.19 No.2,Sanger uten ord Op.19 nr.2,Pieśni bez słów Op.19 nr 2,Canções sem Palavras Op.19 No.2,Canções sem Palavras Op.19 No.2,Песни без слов Op.19 №2,Canciones sin palabras Op.19 No.2,Songs Without Words Op.19 No.2,เพลงที่ไม่มีคำพูด Op.19 No.2,Sözsüz Şarkılar Op.19 No.2,Sözsüz Şarkılar Op.19 No.2,Khúc không lời Op.19 No.2
